State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
Michigan,Charlevoix,"Lakeshore Regional Entity","Behavioral Health",*,*,2,23.08%,32,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Northcare Network","Behavioral Health",*,*,2,18.18%,5,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,9,8.21%,31,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Upper Peninsula Hp","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Michigan,Charlevoix,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,2,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Upcap Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Region 10","Behavioral Health",*,*,0,40.00%,14,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Priority Health","Behavioral Health",*,*,7,0.00%,,*,2022,Comprehensive MCO
Michigan,Charlevoix,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,2,23.08%,4,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Southwest Mi Behavioral Health","Behavioral Health",*,*,1,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"United Healthcare","Behavioral Health",24,325,21,7.38%,7,2:01,2022,Comprehensive MCO
Michigan,Charlevoix,"Oakland County Cmh Authority","Behavioral Health",*,*,0,25.00%,401,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,Bcbs,"Behavioral Health",*,*,6,25.00%,12,*,2022,Comprehensive MCO
Michigan,Charlevoix,"Aetna Better Health","Behavioral Health",*,*,2,0.00%,,*,2022,Comprehensive MCO
Michigan,Charlevoix,"Northern Hp Corp","Behavioral Health",*,*,0,7.14%,2,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Mclaren Hp","Behavioral Health",224,"2,045",36,10.95%,12,7:01,2023,Comprehensive MCO
Michigan,Charlevoix,Meridian,"Behavioral Health",106,"1,025",34,10.34%,9,4:01,2023,Comprehensive MCO
Michigan,Charlevoix,Molina,"Behavioral Health",20,312,22,6.41%,12,1:02,2023,Comprehensive MCO
Michigan,Charlevoix,"Macomb County Cmh Services","Behavioral Health",*,*,0,9.09%,24,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Lakeshore Regional Entity","Behavioral Health",*,*,1,23.08%,64,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Priority Health","Behavioral Health",*,*,12,10.00%,6,*,2023,Comprehensive MCO
Michigan,Charlevoix,"Upper Peninsula Hp","Behavioral Health",*,*,1,7.14%,2,*,2023,Comprehensive MCO
Michigan,Charlevoix,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,28.57%,5,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Southwest Mi Behavioral Health","Behavioral Health",*,*,1,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Area Agency On Aging 1-B","Behavioral Health",0,15,0,0.00%,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Region 10","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Aetna Better Health","Behavioral Health",*,*,1,0.00%,,*,2023,Comprehensive MCO
Michigan,Charlevoix,"United Healthcare","Behavioral Health",28,402,20,6.97%,5,2:01,2023,Comprehensive MCO
Michigan,Charlevoix,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,3,13.51%,28,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,Bcbs,"Behavioral Health",*,*,3,22.22%,21,*,2023,Comprehensive MCO
Michigan,Charlevoix,"Oakland County Cmh Authority","Behavioral Health",*,*,0,25.00%,70,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,9,7.81%,40,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northern Hp Corp","Behavioral Health",0,14,0,0.00%,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Northcare Network","Behavioral Health",*,*,2,13.33%,4,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Macomb County Cmh Services","Behavioral Health",*,*,0,9.09%,50,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,Meridian,"Behavioral Health",91,"1,133",27,8.03%,9,4:01,2024,Comprehensive MCO
Michigan,Charlevoix,Molina,"Behavioral Health",38,456,18,8.33%,9,3:01,2024,Comprehensive MCO
Michigan,Charlevoix,"Northern Hp Corp","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Lakeshore Regional Entity","Behavioral Health",11,31,3,35.48%,15,4:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Hap Midwest Hp","Behavioral Health",*,*,0,0.00%,,*,2024,Comprehensive MCO
Michigan,Charlevoix,Bcbs,"Behavioral Health",19,474,17,4.01%,5,2:01,2024,Comprehensive MCO
Michigan,Charlevoix,"United Healthcare","Behavioral Health",29,476,16,6.09%,8,2:01,2024,Comprehensive MCO
Michigan,Charlevoix,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,21.43%,21,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Area Agency On Aging 1-B","Behavioral Health",0,20,0,0.00%,,0,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Reliance Community Care Partners","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Region 10","Behavioral Health",*,*,0,28.57%,35,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Upper Peninsula Hp","Behavioral Health",*,*,4,12.50%,2,*,2024,Comprehensive MCO
Michigan,Charlevoix,"Priority Health","Behavioral Health",29,487,22,5.95%,4,2:01,2024,Comprehensive MCO
Michigan,Charlevoix,"Aetna Better Health","Behavioral Health",*,*,2,0.00%,,*,2024,Comprehensive MCO
Michigan,Charlevoix,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",22,55,7,40.00%,26,4:01,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,9.09%,1,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,0.00%,,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Mclaren Hp","Behavioral Health",296,"2,491",34,11.88%,11,9:01,2024,Comprehensive MCO
Michigan,Charlevoix,"Oakland County Cmh Authority","Behavioral Health",*,*,0,12.00%,10,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Charlevoix,"Northern Michigan Regional Entity","Behavioral Health",*,*,15,8.59%,45,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Charlevoix,"Northcare Network","Behavioral Health",*,*,2,38.46%,3,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Oakland County Cmh Authority","Behavioral Health",*,*,3,25.00%,54,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,21,6.05%,20,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Mclaren Hp","Behavioral Health",197,"2,163",35,9.11%,13,6:01,2020,Comprehensive MCO
Michigan,Cheboygan,Molina,"Behavioral Health",*,*,27,3.29%,7,*,2020,Comprehensive MCO
Michigan,Cheboygan,Meridian,"Behavioral Health",37,642,40,5.76%,9,1:02,2020,Comprehensive MCO
Michigan,Cheboygan,"Macomb County Cmh Services","Behavioral Health",*,*,1,33.33%,4,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Lakeshore Regional Entity","Behavioral Health",*,*,1,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northcare Network","Behavioral Health",*,*,1,25.00%,19,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Hap Midwest Hp","Behavioral Health",0,0,1,,,0,2020,Comprehensive MCO
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,3,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,2,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Aetna Better Health","Behavioral Health",0,0,2,,,0,2020,Comprehensive MCO
Michigan,Cheboygan,Bcbs,"Behavioral Health",*,*,7,0.00%,,*,2020,Comprehensive MCO
Michigan,Cheboygan,"Upper Peninsula Hp","Behavioral Health",*,*,2,25.00%,1,*,2020,Comprehensive MCO
Michigan,Cheboygan,"United Healthcare","Behavioral Health",*,*,13,2.76%,12,*,2020,Comprehensive MCO
Michigan,Cheboygan,"Total Health Care","Behavioral Health",0,0,3,,,0,2020,Comprehensive MCO
Michigan,Cheboygan,"Southwest Mi Behavioral Health","Behavioral Health",*,*,1,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Region 10","Behavioral Health",*,*,1,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,5,18.18%,71,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Oakland County Cmh Authority","Behavioral Health",*,*,3,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",336,"4,773",25,7.04%,26,14:01,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Molina,"Behavioral Health",*,*,34,5.53%,7,*,2021,Comprehensive MCO
Michigan,Cheboygan,"Mclaren Hp","Behavioral Health",280,"2,527",39,11.08%,16,8:01,2021,Comprehensive MCO
Michigan,Cheboygan,"Macomb County Cmh Services","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Meridian,"Behavioral Health",66,767,49,8.60%,11,2:01,2021,Comprehensive MCO
Michigan,Cheboygan,"Lakeshore Regional Entity","Behavioral Health",*,*,3,18.75%,5,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northcare Network","Behavioral Health",0,24,0,0.00%,,0,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",0,41,0,0.00%,,0,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Hap Midwest Hp","Behavioral Health",*,*,2,0.00%,,*,2021,Comprehensive MCO
Michigan,Cheboygan,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Bcbs,"Behavioral Health",*,*,11,25.00%,24,*,2021,Comprehensive MCO
Michigan,Cheboygan,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Aetna Better Health","Behavioral Health",*,*,1,0.00%,,*,2021,Comprehensive MCO
Michigan,Cheboygan,"Upper Peninsula Hp","Behavioral Health",*,*,2,0.00%,,*,2021,Comprehensive MCO
Michigan,Cheboygan,"United Healthcare","Behavioral Health",23,266,29,8.65%,9,1:02,2021,Comprehensive MCO
Michigan,Cheboygan,"Total Health Care","Behavioral Health",0,0,2,,,0,2021,Comprehensive MCO
Michigan,Cheboygan,"Southwest Mi Behavioral Health","Behavioral Health",*,*,1,16.67%,2,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Region 10","Behavioral Health",*,*,2,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Priority Health","Behavioral Health",*,*,5,0.00%,,*,2021,Comprehensive MCO
Michigan,Cheboygan,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,11,11.11%,13,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Oakland County Cmh Authority","Behavioral Health",*,*,3,23.08%,21,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Northcare Network","Behavioral Health",*,*,0,16.67%,13,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Molina,"Behavioral Health",14,266,46,5.26%,11,1:04,2022,Comprehensive MCO
Michigan,Cheboygan,"Mclaren Hp","Behavioral Health",324,"2,937",67,11.03%,18,5:01,2022,Comprehensive MCO
Michigan,Cheboygan,"Macomb County Cmh Services","Behavioral Health",*,*,2,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Lakeshore Regional Entity","Behavioral Health",*,*,3,11.11%,11,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,25,6.65%,30,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Hap Midwest Hp","Behavioral Health",0,0,2,,,0,2022,Comprehensive MCO
Michigan,Cheboygan,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,2,7.14%,15,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Meridian,"Behavioral Health",60,858,64,6.99%,13,1:02,2022,Comprehensive MCO
Michigan,Cheboygan,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,Bcbs,"Behavioral Health",*,*,14,0.00%,,*,2022,Comprehensive MCO
Michigan,Cheboygan,"Aetna Better Health","Behavioral Health",*,*,2,0.00%,,*,2022,Comprehensive MCO
Michigan,Cheboygan,"Upper Peninsula Hp","Behavioral Health",*,*,1,0.00%,,*,2022,Comprehensive MCO
Michigan,Cheboygan,"Upcap Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"United Healthcare","Behavioral Health",16,342,30,4.68%,9,1:02,2022,Comprehensive MCO
Michigan,Cheboygan,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,14.29%,1,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Region 10","Behavioral Health",*,*,2,0.00%,,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Priority Health","Behavioral Health",*,*,12,10.00%,2,*,2022,Comprehensive MCO
Michigan,Cheboygan,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,17,19.51%,7,*,2022,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",0,41,0,0.00%,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",441,"7,086",22,6.22%,28,21:01,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northcare Network","Behavioral Health",*,*,0,17.39%,8,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Molina,"Behavioral Health",32,381,44,8.40%,20,1:02,2023,Comprehensive MCO
Michigan,Cheboygan,"Mclaren Hp","Behavioral Health",511,"3,543",63,14.42%,19,9:01,2023,Comprehensive MCO
Michigan,Cheboygan,"Macomb County Cmh Services","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Lakeshore Regional Entity","Behavioral Health",*,*,4,23.53%,17,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Hap Midwest Hp","Behavioral Health",*,*,4,0.00%,,*,2023,Comprehensive MCO
Michigan,Cheboygan,Meridian,"Behavioral Health",113,"1,076",65,10.50%,15,2:01,2023,Comprehensive MCO
Michigan,Cheboygan,"Detroit Wayne Behavioral Health Authority","Behavioral Health",0,22,0,0.00%,,0,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,0,0.00%,,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Aetna Better Health","Behavioral Health",*,*,2,0.00%,,*,2023,Comprehensive MCO
Michigan,Cheboygan,Bcbs,"Behavioral Health",*,*,13,16.67%,17,*,2023,Comprehensive MCO
Michigan,Cheboygan,"Upper Peninsula Hp","Behavioral Health",*,*,5,0.00%,,*,2023,Comprehensive MCO
Michigan,Cheboygan,"United Healthcare","Behavioral Health",31,442,25,7.01%,15,2:01,2023,Comprehensive MCO
Michigan,Cheboygan,"Southwest Mi Behavioral Health","Behavioral Health",*,*,1,5.88%,1,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Region 10","Behavioral Health",0,19,2,0.00%,,0,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Priority Health","Behavioral Health",*,*,10,12.50%,3,*,2023,Comprehensive MCO
Michigan,Cheboygan,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,16,15.38%,14,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Oakland County Cmh Authority","Behavioral Health",*,*,3,30.00%,11,*,2023,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,23,6.92%,32,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Northern Michigan Regional Entity","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Northcare Network","Behavioral Health",*,*,0,7.69%,1,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Molina,"Behavioral Health",34,520,25,6.54%,15,2:01,2024,Comprehensive MCO
Michigan,Cheboygan,Meridian,"Behavioral Health",119,"1,244",55,9.57%,14,3:01,2024,Comprehensive MCO
Michigan,Cheboygan,"Mclaren Hp","Behavioral Health",612,"4,233",61,14.46%,19,11:01,2024,Comprehensive MCO
Michigan,Cheboygan,"Macomb County Cmh Services","Behavioral Health",*,*,0,11.11%,55,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Lakeshore Regional Entity","Behavioral Health",*,*,2,12.90%,3,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Hap Midwest Hp","Behavioral Health",*,*,3,0.00%,,*,2024,Comprehensive MCO
Michigan,Cheboygan,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,7.41%,5,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,16.67%,2,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,Bcbs,"Behavioral Health",18,513,22,3.51%,6,1:02,2024,Comprehensive MCO
Michigan,Cheboygan,"Area Agency On Aging 1-B","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"Aetna Better Health","Behavioral Health",0,0,5,,,0,2024,Comprehensive MCO
Michigan,Cheboygan,"Upper Peninsula Hp","Behavioral Health",*,*,6,3.85%,2,*,2024,Comprehensive MCO
Michigan,Cheboygan,"Upcap Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,Cheboygan,"United Healthcare","Behavioral Health",41,529,25,7.75%,11,2:01,2024,Comprehensive MCO
Michigan,Cheboygan,"Southwest Mi Behavioral Health","Behavioral Health",*,*,3,9.09%,4,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Region 10","Behavioral Health",*,*,2,5.56%,2,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Priority Health","Behavioral Health",30,575,17,5.22%,6,2:01,2024,Comprehensive MCO
Michigan,Cheboygan,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",13,68,28,19.12%,7,1:03,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Cheboygan,"Oakland County Cmh Authority","Behavioral Health",*,*,2,28.57%,35,*,2024,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Southwest Mi Behavioral Health","Behavioral Health",*,*,2,16.67%,1,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Upper Peninsula Hp","Behavioral Health",163,"2,489",35,6.55%,8,5:01,2020,Comprehensive MCO
Michigan,Chippewa,"Upcap Area Agency On Aging","Behavioral Health",0,39,0,0.00%,,0,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,Chippewa,"United Healthcare","Behavioral Health",*,*,3,20.00%,15,*,2020,Comprehensive MCO
Michigan,Chippewa,"Region 10","Behavioral Health",*,*,0,14.29%,9,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Priority Health","Behavioral Health",*,*,1,0.00%,,*,2020,Comprehensive MCO
Michigan,Chippewa,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,2,31.25%,6,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Oakland County Cmh Authority","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Northcare Network","Behavioral Health",274,"4,088",30,6.70%,20,10:01,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,Molina,"Behavioral Health",*,*,4,0.00%,,*,2020,Comprehensive MCO
Michigan,Chippewa,Meridian,"Behavioral Health",*,*,5,14.29%,16,*,2020,Comprehensive MCO
Michigan,Chippewa,"Northern Michigan Regional Entity","Behavioral Health",*,*,2,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Mclaren Hp","Behavioral Health",*,*,4,20.00%,1,*,2020,Comprehensive MCO
Michigan,Chippewa,"Macomb County Cmh Services","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Lakeshore Regional Entity","Behavioral Health",*,*,1,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Hap Midwest Hp","Behavioral Health",*,*,0,0.00%,,*,2020,Comprehensive MCO
Michigan,Chippewa,"Detroit Wayne Behavioral Health Authority","Behavioral Health",*,*,0,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Cmh Partnership Of Southeast Michigan","Behavioral Health",*,*,1,0.00%,,*,2020,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,Bcbs,"Behavioral Health",*,*,2,0.00%,,*,2020,Comprehensive MCO
Michigan,Chippewa,"Aetna Better Health","Behavioral Health",*,*,1,0.00%,,*,2020,Comprehensive MCO
Michigan,Chippewa,"Upper Peninsula Hp","Behavioral Health",217,"2,947",31,7.36%,9,7:01,2021,Comprehensive MCO
Michigan,Chippewa,"Upcap Area Agency On Aging","Behavioral Health",0,41,0,0.00%,,0,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Chippewa,"United Healthcare","Behavioral Health",*,*,4,0.00%,,*,2021,Comprehensive MCO
Michigan,Chippewa,"Southwest Mi Behavioral Health","Behavioral Health",*,*,2,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Region 7 Area Agency On Aging","Behavioral Health",*,*,0,0.00%,,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,Chippewa,"Region 10","Behavioral Health",*,*,0,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Priority Health","Behavioral Health",*,*,1,0.00%,,*,2021,Comprehensive MCO
Michigan,Chippewa,"Pihp Mid-State Hlth Net Reg Entity","Behavioral Health",*,*,1,18.52%,5,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Oakland County Cmh Authority","Behavioral Health",*,*,0,0.00%,,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
Michigan,Chippewa,"Northern Michigan Regional Entity","Behavioral Health",*,*,1,17.86%,4,*,2021,Behavioral Health Inpatient Specialty Plan (PIHP)
